Ancestor,Colony,Day,Clone.Number,Target.Name.x,mu.x,Median.x,sigma.x,PSRF_mu.x,PSRF_lp.x,Target.Name.y,mu.y,Median.y,sigma.y,PSRF_mu.y,PSRF_lp.y,ratio,ratio.se,Environment,ColonyID,Plasmid.size,mutated
DOD 1487,6,8,DOD 1513,trfA gene,6.96E-05,1.17E-05,1.18E-05,1.000304076,1.016936548,16S rRNA gene,0.013042743,0.010642466,0.000437143,1.002365003,1.042803382,0.001099578,4.49E-06,Starting,DOD 1487-6,64508,unchanged
DOD 1487,6_2,0,1513,trfA gene,0.001201745,0.000860605,3.56E-05,1.006157255,1.004708828,16S rRNA gene,0.24734436,0.208438863,0.002918754,1.000867058,1.006171763,0.004128811,5.32E-07,Starting,DOD 1487-6_2,64508,unchanged
DOD 1488,1,0,DOD 1518,trfA gene,0.010795452,0.00483551,0.000448124,1.008766969,1.000864491,16S rRNA gene,0.016202492,0.014642319,0.000227891,1.013308206,1.043939159,0.330242103,0.000238954,Starting,DOD 1488-1,64508,unchanged
DOD 1488,1,5,DOD 1518,trfA gene,5.93E-06,1.32E-06,8.17E-07,1.000996081,1.002633279,16S rRNA gene,0.007082803,0.001493639,0.00035967,1.00012052,1.007288927,0.000880478,2.62E-06,Starting,DOD 1488-1,64508,unchanged
DOD 1488,1,8,DOD 1518,trfA gene,1.70E-07,4.54E-08,1.72E-08,1.000478568,1.007709257,16S rRNA gene,0.015182372,0.010737535,0.000307997,1.064349133,1.007175687,4.23E-06,1.79E-09,Starting,DOD 1488-1,64508,unchanged
DOD 1488,2,0,DOD 1519,trfA gene,0.00099603,0.000518889,5.46E-05,1.004122048,1.005019029,16S rRNA gene,0.009069964,0.007323369,0.000261151,1.008487638,1.010330592,0.070853802,4.71E-05,Starting,DOD 1488-2,64508,unchanged
DOD 1488,2,5,DOD 1519,trfA gene,4.91E-08,2.44E-08,3.41E-09,0.999665787,1.005256179,16S rRNA gene,0.029212473,0.014327174,0.000914942,1.004102641,1.010121075,1.70E-06,1.99E-10,Starting,DOD 1488-2,64508,unchanged
DOD 1488,2,8,DOD 1519,trfA gene,2.12E-09,6.25E-10,3.02E-10,1.000073386,1.001471454,16S rRNA gene,0.013146381,0.009887021,0.000366087,1.001970339,1.003760891,6.33E-08,1.50E-11,Starting,DOD 1488-2,64508,unchanged
DOD 1488,2_2,5,1519,trfA gene,1.28E-08,7.30E-09,5.09E-10,1.003563811,1.000659939,16S rRNA gene,0.085436766,0.067393443,0.001268,1.00327902,1.000022706,1.08E-07,3.00E-12,Starting,DOD 1488-2_2,64508,unchanged
DOD 1488,3,0,DOD 1520,trfA gene,0.000221854,0.000178343,4.49E-06,1.002728346,1.004125541,16S rRNA gene,0.005014585,0.004190116,0.000137445,1.003806985,1.019672949,0.042562789,7.88E-06,Starting,DOD 1488-3,64508,unchanged
DOD 1488,3,5,DOD 1520,trfA gene,0.000258534,5.39E-05,6.55E-05,1.001614598,1.002580714,16S rRNA gene,0.022623837,0.014645329,0.000630317,1.009998824,1.006016293,0.003681889,2.40E-05,Starting,DOD 1488-3,64508,unchanged
DOD 1488,3,8,DOD 1520,trfA gene,2.17E-09,5.68E-10,5.78E-10,1.00223941,1.004505178,16S rRNA gene,0.011208481,0.008229646,0.000248235,1.002474581,1.00405581,6.90E-08,4.15E-11,Starting,DOD 1488-3,64508,unchanged
DOD 1488,4,0,DOD 1521,trfA gene,0.000461969,0.000363653,1.08E-05,1.002956635,1.003150616,16S rRNA gene,0.011666401,0.00893242,0.000265284,1.006953125,1.015092956,0.040711585,7.55E-06,Starting,DOD 1488-4,64508,unchanged
DOD 1488,4,5,DOD 1521,trfA gene,1.47E-06,4.25E-07,3.96E-07,1.000103502,1.006555146,16S rRNA gene,0.026664526,0.010205575,0.000959437,1.001228503,1.010173804,4.17E-05,8.26E-08,Starting,DOD 1488-4,64508,unchanged
DOD 1488,4,8,DOD 1521,trfA gene,2.05E-09,8.63E-10,1.34E-10,1.006399418,11.84591826,16S rRNA gene,0.012824557,0.009579238,0.000366951,1.001831452,1.128519536,9.01E-08,6.18E-12,Starting,DOD 1488-4,64508,unchanged
DOD 1488,5,0,DOD 1522,trfA gene,0.000485711,0.000344637,1.66E-05,1.002349552,1.002195666,16S rRNA gene,0.014511748,0.012899801,0.000184062,1.007426376,1.007828866,0.026716422,5.52E-06,Starting,DOD 1488-5,64508,unchanged
DOD 1488,5,5,DOD 1522,trfA gene,2.04E-05,9.99E-06,1.38E-06,1.002226435,1.010419044,16S rRNA gene,0.027311859,0.020387696,0.000589319,1.004265685,1.002696676,0.000489867,1.62E-07,Starting,DOD 1488-5,64508,unchanged
DOD 1488,5,8,DOD 1522,trfA gene,3.98E-09,3.87E-10,2.24E-09,1.000010169,1.000545676,16S rRNA gene,0.029180103,0.020622556,0.00061934,1.002506147,1.013023836,1.88E-08,6.93E-11,Starting,DOD 1488-5,64508,unchanged
DOD 1488,6,0,DOD 1523,trfA gene,0.000822112,0.000505981,4.46E-05,0.999311265,1.004754521,16S rRNA gene,0.015179569,0.013804009,0.000177245,1.005293667,1.02154501,0.036654642,1.66E-05,Starting,DOD 1488-6,64508,unchanged
DOD 1488,6,5,DOD 1523,trfA gene,0.000102054,1.35E-05,1.43E-05,0.999902699,1.008274256,16S rRNA gene,0.072589584,0.038578679,0.001631078,1.000658522,1.003048722,0.000349579,1.22E-06,Starting,DOD 1488-6,64508,unchanged
DOD 1488,6,8,DOD 1523,trfA gene,1.98E-10,4.91E-11,1.75E-11,1.005740419,155.7463146,16S rRNA gene,0.02715906,0.018457385,0.000648793,1.001391911,1.001837233,2.66E-09,2.44E-13,Starting,DOD 1488-6,64508,unchanged
DOD 1489,1,0,DOD 1528,trfA gene,0.00153902,0.000542403,0.000208477,1.003419809,1.002640011,16S rRNA gene,0.015164765,0.011727152,0.000339723,1.007409613,1.007431537,0.046251927,0.000127935,Starting,DOD 1489-1,64508,unchanged
DOD 1489,1,5,DOD 1528,trfA gene,0.659955527,0.532187801,0.006572416,5.307653094,2.145846092,16S rRNA gene,0.030251031,0.016036742,0.000913085,1.001101322,1.00132942,33.1855313,0.038170019,Starting,DOD 1489-1,64508,unchanged
DOD 1489,1,8,DOD 1528,trfA gene,0.392392853,0.265021478,0.006441569,0.999830727,1.003010493,16S rRNA gene,0.02024503,0.014114463,0.000544557,1.002624812,1.014709134,18.77659018,0.013170412,Starting,DOD 1489-1,64508,unchanged
DOD 1489,1_2,5,1528,trfA gene,1.19E-09,7.89E-10,3.67E-11,1.007695872,1.003784839,16S rRNA gene,0.065336286,0.053535439,0.001011993,1.004629001,1.006263138,1.47E-08,1.81E-13,Starting,DOD 1489-1_2,64508,unchanged
DOD 1489,1_2,8,1528,trfA gene,7.58E-09,2.68E-09,7.24E-10,1.005466334,1.00841317,16S rRNA gene,0.059948936,0.049148718,0.000868318,1.003226511,1.001310471,5.46E-08,6.17E-12,Starting,DOD 1489-1_2,64508,unchanged
DOD 1489,2,0,DOD 1529,trfA gene,0.000210226,0.000165448,4.23E-06,1.002211163,1.004084705,16S rRNA gene,0.010543563,0.009770635,0.000159485,1.001928036,1.048637548,0.016933182,1.72E-06,Starting,DOD 1489-2,64424,smalldel
DOD 1489,2,5,DOD 1529,trfA gene,0.177001668,1.88E-05,0.00465542,4.693167177,58.96670429,16S rRNA gene,0.040865784,0.018512249,0.001156499,1.004420495,1.038916588,0.001015134,0.003072866,Starting,DOD 1489-2,64424,smalldel
DOD 1489,2,8,DOD 1529,trfA gene,3.58E-07,6.08E-08,4.44E-08,1.001347679,1.013873493,16S rRNA gene,0.023349045,0.012879028,0.000812331,1.004148599,1.188219618,4.72E-06,4.40E-09,Starting,DOD 1489-2,64424,smalldel
DOD 1489,3,0,DOD 1530,trfA gene,0.000687036,0.000330872,3.68E-05,1.004205113,1.002076938,16S rRNA gene,0.013640711,0.011016435,0.000240595,1.006453391,1.017975395,0.030034409,1.67E-05,Starting,DOD 1489-3,64508,unchanged
DOD 1489,3,5,DOD 1530,trfA gene,4.31E-06,1.84E-06,3.29E-07,1.001856981,1.004074142,16S rRNA gene,0.02676837,0.016410411,0.000811107,1.000666356,1.003047985,0.000111996,3.75E-08,Starting,DOD 1489-3,64508,unchanged
DOD 1489,3,8,DOD 1530,trfA gene,1.37E-06,2.94E-07,1.23E-07,1.000479979,1.005075013,16S rRNA gene,0.029276979,0.017163611,0.000768305,1.001814252,1.002778696,1.71E-05,1.07E-08,Starting,DOD 1489-3,64508,unchanged
DOD 1489,4,0,DOD 1531,trfA gene,0.000431332,0.000178763,2.84E-05,1.011440674,1.003305463,16S rRNA gene,0.01427203,0.012070419,0.000335202,1.004424561,1.118130128,0.014809975,1.12E-05,Starting,DOD 1489-4,64508,unchanged
DOD 1489,4,5,DOD 1531,trfA gene,1.58E-09,7.11E-10,9.24E-11,1.000876434,1.007214857,16S rRNA gene,0.058936741,0.027493885,0.001498688,1.004266285,1.010915324,2.59E-08,1.15E-12,Starting,DOD 1489-4,64508,unchanged
DOD 1489,4,8,DOD 1531,trfA gene,0.040076445,0.000203912,0.00197795,1.01327276,1.016106602,16S rRNA gene,0.032943899,0.0219895,0.000891177,1.000757424,1.005383592,0.009273157,0.000907029,Starting,DOD 1489-4,64508,unchanged
DOD 1489,4_2,5,1531,trfA gene,1.98E-08,4.42E-09,6.06E-09,1.001883975,1.006934322,16S rRNA gene,0.086050753,0.063004598,0.00143554,1.006459931,1.003071986,7.01E-08,6.23E-11,Starting,DOD 1489-4_2,64508,unchanged
DOD 1489,5,0,DOD 1532,trfA gene,5.37E-11,1.93E-11,4.21E-12,1.003301628,1.001504862,16S rRNA gene,0.014230372,0.009959559,0.000428853,1.003431891,1.005267772,1.94E-09,9.43E-14,Starting,DOD 1489-5,64508,unchanged
DOD 1489,5,5,DOD 1532,trfA gene,7.11E-05,1.84E-05,9.81E-06,1.002516256,1.001735548,16S rRNA gene,0.014609011,0.009601887,0.000413201,1.002911978,1.000022237,0.001912173,4.09E-06,Starting,DOD 1489-5,64508,unchanged
DOD 1489,5,8,DOD 1532,trfA gene,0.000118312,2.23E-05,1.54E-05,1.002560508,1.002631414,16S rRNA gene,0.028650196,0.019864257,0.000755681,1.002303269,1.004471906,0.001122327,2.90E-06,Starting,DOD 1489-5,64508,unchanged
DOD 1489,5_2,0,1532,trfA gene,0.000580424,0.000422197,4.22E-05,1.004350846,1.164334293,16S rRNA gene,0.042032477,0.030421573,0.000801076,1.004390645,1.00753861,0.0138782,6.08E-06,Starting,DOD 1489-5_2,64508,unchanged
DOD 1489,6,0,DOD 1533,trfA gene,5.40E-06,3.54E-06,3.06E-07,1.007230006,1.003139477,16S rRNA gene,0.023012476,0.01976675,0.000389601,1.004182137,1.005154595,0.000178879,2.68E-08,Starting,DOD 1489-6,64508,unchanged
DOD 1489,6,5,DOD 1533,trfA gene,8.87E-05,1.37E-05,7.53E-06,1.000643872,1.002563965,16S rRNA gene,0.055089125,0.024033646,0.001401424,1.002793609,1.003290425,0.00057208,9.86E-07,Starting,DOD 1489-6,64508,unchanged
DOD 1489,6,8,DOD 1533,trfA gene,4.35E-10,1.58E-10,3.66E-11,1.004769449,1.003051859,16S rRNA gene,0.025905689,0.018199924,0.000619266,1.002296266,1.004452064,8.68E-09,5.79E-13,Starting,DOD 1489-6,64508,unchanged
DOD 1489,6_2,0,1533,trfA gene,0.007673787,0.003920873,0.000295997,1.001298539,1.000933997,16S rRNA gene,0.402408812,0.26187792,0.006615786,1.003188567,1.002260511,0.014972141,4.94E-06,Starting,DOD 1489-6_2,64508,unchanged
DOD 1592,1,0,DOD 1722,trfA gene,0.000120362,8.98E-05,2.75E-06,1.003391103,1.002761561,16S rRNA gene,0.006464072,0.005270119,0.000144151,1.008525058,1.007086288,0.017034312,2.59E-06,Liquid,DOD 1592-1,29914,largedel
DOD 1592,1,5,DOD 1722,trfA gene,3.45E-06,1.78E-06,1.84E-07,1.001400474,1.001801078,16S rRNA gene,0.016077167,0.01215151,0.000452271,1.003185397,1.005756626,0.000146483,2.81E-08,Liquid,DOD 1592-1,29914,largedel
DOD 1592,1,8,DOD 1722,trfA gene,5.93E-05,4.36E-06,1.05E-05,1.000084489,1.00891913,16S rRNA gene,0.033468507,0.025249648,0.000614852,0.999707979,1.001736612,0.000172736,1.36E-06,Liquid,DOD 1592-1,29914,largedel
DOD 1592,2,0,DOD 1723,trfA gene,0.000225635,0.000169879,8.52E-06,1.001452319,1.001101065,16S rRNA gene,0.015634077,0.014837454,0.000110962,1.002195794,1.016806142,0.011449309,2.02E-06,Liquid,DOD 1592-2,64508,unchanged
DOD 1592,2,5,DOD 1723,trfA gene,4.37E-06,1.07E-06,8.40E-07,1.000685189,1.006349424,16S rRNA gene,0.052741886,0.023291236,0.001356543,1.017263369,1.193940275,4.58E-05,7.30E-08,Liquid,DOD 1592-2,64508,unchanged
DOD 1592,2,8,DOD 1723,trfA gene,8.96E-10,3.40E-10,6.29E-11,1.001877211,1.015892294,16S rRNA gene,0.028662099,0.023292411,0.000554732,1.003656373,1.007295398,1.46E-08,8.18E-13,Liquid,DOD 1592-2,64508,unchanged
DOD 1592,3,0,DOD 1724,trfA gene,0.000176435,8.45E-05,1.69E-05,1.004142449,1.001380252,16S rRNA gene,0.011291873,0.009733401,0.000211913,1.010721239,1.006469909,0.008677838,7.79E-06,Liquid,DOD 1592-3,29914,largedel
DOD 1592,3,5,DOD 1724,trfA gene,1.41E-05,3.16E-06,5.85E-06,1.000681528,1.000999026,16S rRNA gene,0.039502575,0.028718239,0.000757443,1.00267771,1.006742418,0.00011002,6.00E-07,Liquid,DOD 1592-3,29914,largedel
DOD 1592,3,8,DOD 1724,trfA gene,1.22E-07,3.39E-08,1.02E-08,1.001242265,1.004264689,16S rRNA gene,0.020434868,0.012232953,0.00058697,1.001592345,1.002867772,2.77E-06,8.42E-10,Liquid,DOD 1592-3,29914,largedel
DOD 1592,4,0,DOD 1727,trfA gene,0.000481675,0.000331722,3.37E-05,1.004238117,1.00306855,16S rRNA gene,0.035954375,0.032210754,0.000462791,1.002464269,1.004205792,0.010298495,4.49E-06,Liquid,DOD 1592-4,64508,unchanged
DOD 1592,4,5,DOD 1727,trfA gene,1.01E-05,3.72E-06,5.48E-07,1.053811192,1.001764891,16S rRNA gene,0.050477498,0.027028272,0.001195595,0.999718163,1.000537284,0.000137735,3.87E-08,Liquid,DOD 1592-4,64508,unchanged
DOD 1592,4,8,DOD 1727,trfA gene,2.42E-07,8.96E-08,2.09E-08,1.001096384,1.002336008,16S rRNA gene,0.037874036,0.02730414,0.000792912,0.999972562,1.064467418,3.28E-06,7.17E-10,Liquid,DOD 1592-4,64508,unchanged
DOD 1592,5,0,DOD 2115,trfA gene,0.001387122,0.000997844,7.89E-05,1.003064814,1.000091707,16S rRNA gene,0.025595704,0.024339986,0.000154214,1.004107261,1.066325494,0.040996086,1.62E-05,Liquid,DOD 1592-5,29914,largedel
DOD 1592,5,5,DOD 2115,trfA gene,5.69E-06,1.66E-06,7.91E-07,1.000859941,1.002280715,16S rRNA gene,0.024718395,0.020278726,0.000469695,1.006008195,1.018095221,8.17E-05,7.77E-08,Liquid,DOD 1592-5,29914,largedel
DOD 1592,5,8,DOD 2115,trfA gene,3.85E-06,5.12E-07,1.58E-06,1.00257516,1.012205302,16S rRNA gene,0.029573639,0.024938676,0.000424574,1.003781056,1.031430847,2.05E-05,1.42E-07,Liquid,DOD 1592-5,29914,largedel
DOD 1592,6,0,DOD 2116,trfA gene,0.001796471,0.000759902,0.000106256,1.002199801,1.004551992,16S rRNA gene,0.026016961,0.022835405,0.000357477,1.004297875,1.010098963,0.033277381,2.66E-05,Liquid,DOD 1592-6,29914,largedel
DOD 1592,6,5,DOD 2116,trfA gene,0.000253947,3.95E-05,8.17E-05,1.001073729,0.999854617,16S rRNA gene,0.065881219,0.037562279,0.001433472,1.00675404,1.052158362,0.001050292,1.01E-05,Liquid,DOD 1592-6,29914,largedel
DOD 1592,6,8,DOD 2116,trfA gene,4.41E-05,2.52E-06,6.54E-06,1.000052829,1.002527116,16S rRNA gene,0.026092682,0.019154405,0.000537332,1.001852136,1.009606654,0.00013145,1.10E-06,Liquid,DOD 1592-6,29914,largedel
DOD 1621,1,0,DOD 1728,trfA gene,0.000320241,0.000230215,7.71E-06,1.003714329,1.000856162,16S rRNA gene,0.007759206,0.006506134,0.0002873,1.006935945,1.006893097,0.035384352,9.43E-06,Liquid,DOD 1621-1,33287,largedel
DOD 1621,1,5,DOD 1728,trfA gene,0.001431496,0.00040283,0.000256649,1.001307105,1.001032705,16S rRNA gene,0.018731455,0.012380592,0.000551424,0.999898455,1.009509056,0.032537222,0.000154694,Liquid,DOD 1621-1,33287,largedel
DOD 1621,1,8,DOD 1728,trfA gene,0.000711093,0.000377118,4.13E-05,1.003120542,1.002870999,16S rRNA gene,0.041245683,0.027739804,0.000872006,1.001488214,1.011186836,0.013594825,6.82E-06,Liquid,DOD 1621-1,33287,largedel
DOD 1621,2,0,DOD 1729,trfA gene,0.000284384,0.000200624,9.74E-06,1.002706521,1.002117588,16S rRNA gene,0.009056249,0.007356128,0.000304614,1.004345073,1.002641229,0.02727308,7.64E-06,Liquid,DOD 1621-2,41139,largedel
DOD 1621,2,5,DOD 1729,trfA gene,0.000578107,0.000301745,2.44E-05,1.003069913,25.62569785,16S rRNA gene,0.059806833,0.031004195,0.001393293,1.003114474,1.009384663,0.009732388,3.46E-06,Liquid,DOD 1621-2,41139,largedel
DOD 1621,2,8,DOD 1729,trfA gene,0.000519309,0.00024794,5.90E-05,1.000579135,1.006844469,16S rRNA gene,0.022742357,0.015533401,0.000593332,1.001900545,1.008173852,0.015961736,2.00E-05,Liquid,DOD 1621-2,41139,largedel
DOD 1621,3,0,DOD 1730,trfA gene,0.002297739,0.000898255,0.000240021,1.004141395,1.004435705,16S rRNA gene,0.032386637,0.021096948,0.000853092,1.001043875,1.001920454,0.042577494,7.53E-05,Liquid,DOD 1621-3,41139,largedel
DOD 1621,3,5,DOD 1730,trfA gene,0.007293933,0.001919054,0.000554527,1.000263021,1.002146204,16S rRNA gene,0.031703266,0.023446879,0.000741288,0.999585071,1.006874227,0.081846881,0.000177534,Liquid,DOD 1621-3,41139,largedel
DOD 1621,3,8,DOD 1730,trfA gene,0.001369205,0.000621418,0.000135348,1.000518213,1.002713583,16S rRNA gene,0.040099318,0.02794657,0.000832961,1.000758602,1.004161658,0.02223593,2.55E-05,Liquid,DOD 1621-3,41139,largedel
DOD 1621,4,0,DOD 1731,trfA gene,0.000929357,0.00046403,4.66E-05,1.003698039,1.002542927,16S rRNA gene,0.037851593,0.027851774,0.000680472,1.000958543,1.001551126,0.016660714,7.73E-06,Liquid,DOD 1621-4,41139,largedel
DOD 1621,4,5,DOD 1731,trfA gene,0.001195433,0.000598034,0.00011147,1.005973506,1.008111804,16S rRNA gene,0.069226663,0.037673553,0.001521564,1.000811629,1.005199448,0.015874101,1.52E-05,Liquid,DOD 1621-4,41139,largedel
DOD 1621,4,8,DOD 1731,trfA gene,0.000836424,0.000439093,4.17E-05,1.002625137,1.003282606,16S rRNA gene,0.036029574,0.02328151,0.000836483,1.002467282,1.04986981,0.018860162,8.58E-06,Liquid,DOD 1621-4,41139,largedel
DOD 1621,5,0,DOD 1732,trfA gene,0.00185292,0.000952319,0.000165414,1.001798231,1.004188976,16S rRNA gene,0.040514073,0.027583481,0.000905408,1.001770029,1.003946708,0.034524968,3.55E-05,Liquid,DOD 1621-5,32991,largedel
DOD 1621,5,5,DOD 1732,trfA gene,0.000735622,0.00041142,0.000155323,0.999995223,1.009516824,16S rRNA gene,0.01751939,0.012753478,0.000427466,1.000190368,1.004690819,0.032259427,8.03E-05,Liquid,DOD 1621-5,32991,largedel
DOD 1621,5,8,DOD 1732,trfA gene,0.002167156,0.000715492,0.000262755,0.999981184,1.002532433,16S rRNA gene,0.046574717,0.027746391,0.001143153,1.001487766,1.004160459,0.025786866,6.14E-05,Liquid,DOD 1621-5,32991,largedel
